vehicle_id,depart_time,arrive_time,waiting_time,is_controlled_vehicle,is_teleported_vehicle
veh16494,27295.0,,157.0,True,False
truck4298,27295.0,,164.0,False,False
veh16499,27300.0,27695.0,91.0,False,False
veh16504,27305.0,,317.0,False,False
veh16509,27310.0,,127.0,False,False
truck4303,27310.0,,71.0,False,False
veh16514,27315.0,28215.0,194.0,False,False
bike3605,27315.0,,337.0,False,False
veh16519,27320.0,,414.0,False,False
veh16524,27325.0,,100.0,False,False
truck4308,27325.0,,72.0,True,False
moto259,27325.0,29920.0,607.0,False,False
veh16534,27335.0,,174.0,False,False
truck4313,27340.0,,840.0,False,True
bike3612,27340.0,27805.0,83.0,False,False
veh16544,27345.0,,162.0,False,False
veh16549,27350.0,,2.0,False,False
veh16554,27355.0,28970.0,773.0,False,False
truck4318,27355.0,,117.0,False,False
veh16556,27360.0,27915.0,142.0,False,False
veh16559,27360.0,,154.0,False,False
veh16564,27365.0,,0.0,False,False
bike3619,27365.0,,41.0,False,False
veh16569,27370.0,,46.0,False,False
truck4323,27370.0,,24.0,False,False
veh16574,27375.0,,381.0,False,False
veh16579,27380.0,,751.0,False,False
veh16584,27385.0,,708.0,False,False
truck4328,27385.0,,49.0,False,False
veh16589,27390.0,,104.0,False,False
veh16593,27395.0,27920.0,77.0,False,False
veh16594,27395.0,,433.0,False,False
veh16599,27400.0,27755.0,107.0,False,False
truck4333,27400.0,,717.0,False,False
moto261,27410.0,,122.0,True,False
veh16609,27415.0,,82.0,False,False
bike3633,27415.0,,270.0,False,False
veh16614,27415.0,,808.0,True,False
truck4338,27415.0,,499.0,False,False
truck4339,27420.0,,58.0,False,False
veh16619,27420.0,,213.0,False,False
veh16624,27425.0,28255.0,452.0,True,False
veh16629,27430.0,,674.0,False,False
truck4343,27430.0,,392.0,False,False
bike3637,27430.0,,0.0,True,False
veh16634,27435.0,,188.0,False,False
veh16639,27440.0,,143.0,True,False
bike3640,27440.0,,144.0,False,False
veh16644,27445.0,28670.0,446.0,False,False
truck4348,27445.0,,24.0,True,False
veh16649,27450.0,27635.0,40.0,False,False
veh16654,27455.0,,26.0,True,False
truck4353,27460.0,,387.0,False,False
veh16664,27465.0,,313.0,False,False
bike3647,27465.0,,312.0,False,False
veh16669,27470.0,,320.0,False,False
veh16674,27475.0,,572.0,False,False
truck4358,27475.0,,128.0,False,False
veh16679,27480.0,28755.0,482.0,False,False
bike3651,27480.0,,250.0,False,False
veh16689,27490.0,,685.0,False,False
bike3654,27490.0,,398.0,False,False
veh16694,27495.0,,766.0,False,False
veh16699,27500.0,28015.0,66.0,False,False
veh16704,27505.0,,14.0,False,False
moto264,27505.0,,342.0,False,False
veh16714,27515.0,,65.0,False,False
veh16719,27520.0,28460.0,411.0,False,False
truck4373,27520.0,,274.0,True,False
veh16724,27525.0,,58.0,False,False
veh16729,27530.0,27560.0,0.0,False,False
veh16734,27535.0,,834.0,True,False
truck4378,27535.0,,1.0,False,False
