vehicle_id,depart_time,arrive_time,waiting_time,is_controlled_vehicle
veh16699,27500.0,,135.0,False
veh16704,27505.0,,9.0,False
moto264,27505.0,,595.0,True
veh16709,27510.0,,400.0,False
veh16714,27515.0,,79.0,False
veh16716,27520.0,,58.0,False
veh16719,27520.0,,515.0,False
truck4373,27520.0,,845.0,True
veh16724,27525.0,28070.0,102.0,False
veh16575,27530.0,,543.0,False
veh16729,27530.0,,0.0,False
veh16723,27535.0,,165.0,False
veh16734,27535.0,,807.0,True
truck4378,27535.0,,13.0,False
veh16739,27540.0,,9.0,False
veh16744,27545.0,,292.0,False
veh16749,27550.0,,732.0,True
truck4383,27550.0,,729.0,True
veh16754,27555.0,,11.0,False
bike3672,27555.0,27835.0,66.0,False
veh16759,27560.0,,887.0,True
veh16764,27565.0,28630.0,472.0,False
veh16257,27575.0,,813.0,False
veh16770,27580.0,,516.0,True
veh16774,27580.0,,201.0,False
veh16779,27580.0,,771.0,True
truck4393,27580.0,,575.0,True
veh16789,27590.0,,605.0,True
veh16794,27595.0,,0.0,False
truck4398,27595.0,,829.0,True
veh16799,27600.0,28240.0,239.0,False
veh16804,27605.0,,62.0,False
veh16807,27610.0,,818.0,True
truck4403,27610.0,,30.0,False
veh16814,27615.0,,154.0,False
veh16819,27620.0,31250.0,628.0,True
veh16824,27625.0,,695.0,False
truck4408,27625.0,,388.0,False
veh16829,27630.0,,633.0,False
bike3693,27630.0,,237.0,False
veh16834,27635.0,,71.0,False
veh16839,27640.0,,241.0,False
truck4413,27640.0,,65.0,False
veh16844,27645.0,,74.0,False
veh16846,27655.0,29490.0,530.0,True
veh16854,27655.0,,279.0,False
truck4418,27655.0,,491.0,False
bike3700,27655.0,,606.0,False
veh16859,27660.0,,627.0,False
veh16862,27665.0,,571.0,False
veh16869,27670.0,30885.0,655.0,True
bike3704,27670.0,,253.0,False
veh16874,27675.0,,666.0,False
veh16879,27680.0,,86.0,False
bike3707,27680.0,,33.0,False
veh16884,27685.0,,78.0,False
moto269,27685.0,,179.0,False
veh16889,27690.0,,821.0,True
veh16899,27700.0,30860.0,606.0,True
truck4433,27700.0,,0.0,False
veh16904,27705.0,,750.0,True
bike3714,27705.0,,19.0,False
veh16909,27710.0,,50.0,False
veh16914,27715.0,28225.0,163.0,False
truck4438,27715.0,28565.0,429.0,False
veh16919,27720.0,27850.0,0.0,False
bike3718,27720.0,,485.0,False
truck4423,27725.0,,393.0,False
veh16924,27725.0,,157.0,False
veh16929,27730.0,,40.0,False
truck4443,27730.0,,350.0,False
veh16939,27740.0,27790.0,0.0,False
veh16944,27745.0,,658.0,False
bike3725,27745.0,,120.0,False
veh16949,27750.0,,639.0,False
veh16954,27755.0,,559.0,False
truck4434,27760.0,28865.0,608.0,False
veh16959,27760.0,28905.0,348.0,True
truck4453,27760.0,,589.0,False
veh16964,27765.0,,343.0,True
veh16969,27770.0,,547.0,False
bike3732,27770.0,,719.0,False
veh16974,27775.0,,606.0,False
truck4458,27775.0,,232.0,False
veh16979,27780.0,28350.0,174.0,False
veh16984,27785.0,,88.0,False
veh16989,27790.0,,95.0,False
truck4463,27790.0,,333.0,False
veh16994,27795.0,,615.0,False
bike3739,27795.0,28440.0,108.0,False
veh16999,27800.0,,665.0,False
veh17004,27805.0,,253.0,False
truck4468,27805.0,,554.0,False
veh17009,27810.0,28330.0,77.0,False
veh17014,27815.0,,492.0,False
truck4473,27820.0,,53.0,False
bike3746,27820.0,28875.0,354.0,False
veh17024,27825.0,,518.0,False
veh17029,27830.0,28440.0,178.0,False
veh17034,27835.0,28480.0,88.0,False
truck4478,27835.0,,50.0,False
